scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,wall_s
S4,Greedy,101,greedy,15.66,2.43,23278.0,0.0,190.0,1,0.10156,0.00468,3e-05,0.10682,0.26372,0.05306,0.03543,,,,,,,,0.10262,0.00468,3e-05,0.14459,0.35642,0.06104,0.03578,0.5
S4,Greedy,102,greedy,88.65,15.84,1121149.0,0.0,368.0,1,0.38903,0.15632,0.00264,0.23241,0.2345,0.18864,0.18266,0.40669,0.15954,0.00274,0.56305,0.20521,0.21253,0.18965,0.40669,0.15954,0.00274,0.56806,0.20922,0.21306,0.18965,1.1
S4,Greedy,103,greedy,6.21,2.52,0.0,0.0,136.0,1,0.04557,0.0,0.0,0.08446,0.22847,0.03181,0.01519,,,,,,,,0.04557,0.0,0.0,0.08989,0.29352,0.03596,0.01519,0.4
S4,Greedy,104,greedy,100.17,12.33,852866.0,0.0,272.0,1,0.41001,0.21629,0.00159,0.25219,0.32911,0.21887,0.2093,,,,,,,,0.43223,0.22753,0.00166,0.48828,0.20943,0.23558,0.22047,0.7
S4,Greedy,105,greedy,17.91,0.81,8089.0,0.0,170.0,1,0.11323,0.00453,1e-05,0.12027,0.24496,0.05612,0.03926,,,,,,,,0.11634,0.00453,1e-05,0.16016,0.17757,0.05542,0.04029,0.5
S4,Greedy,106,greedy,69.21,11.34,833540.0,0.0,614.0,1,0.31388,0.16169,0.00201,0.19,0.19395,0.16305,0.15919,0.35261,0.16169,0.00202,0.60655,0.1533,0.19656,0.17211,0.3547,0.16169,0.00202,0.81106,0.14747,0.20886,0.1728,1.7
S4,Greedy,107,greedy,15.48,1.62,21523.0,0.0,180.0,1,0.1072,0.03811,4e-05,0.07619,0.18268,0.05798,0.04845,,,,,,,,0.1072,0.03811,4e-05,0.09794,0.19391,0.05992,0.04845,0.4
S4,Greedy,108,greedy,16.38,1.08,134240.0,0.0,176.0,1,0.10909,0.026,0.0002,0.07504,0.19292,0.05555,0.0451,,,,,,,,0.11899,0.026,0.00021,0.10546,0.12077,0.05601,0.0484,0.4
S4,Greedy,109,greedy,57.06,1.71,1347285.0,0.0,182.0,1,0.30864,0.20169,0.00292,0.19603,0.20215,0.17438,0.17108,,,,,,,,0.3117,0.20169,0.00293,0.23049,0.18745,0.17644,0.17211,0.5
S4,Greedy,110,greedy,38.88,8.46,676100.0,0.0,-1,0,0.18552,0.08787,0.00103,0.12754,0.13304,0.09604,0.09147,0.21121,0.09263,0.00107,0.32611,0.24185,0.12309,0.10164,0.23574,0.14133,0.00159,0.52509,0.21713,0.15503,0.12622,2.0
S5,Greedy,101,greedy,15.66,2.43,23278.0,0.0,190.0,1,0.10156,0.00468,3e-05,0.10682,0.26372,0.05306,0.03543,,,,,,,,0.10262,0.00468,3e-05,0.14459,0.35642,0.06104,0.03578,0.5
S5,Greedy,102,greedy,88.65,15.84,1121149.0,0.0,368.0,1,0.38903,0.15632,0.00264,0.23241,0.2345,0.18864,0.18266,0.40669,0.15954,0.00274,0.56305,0.20521,0.21253,0.18965,0.40669,0.15954,0.00274,0.56806,0.20922,0.21306,0.18965,1.2
S5,Greedy,103,greedy,6.21,2.52,0.0,0.0,136.0,1,0.04557,0.0,0.0,0.08446,0.22847,0.03181,0.01519,,,,,,,,0.04557,0.0,0.0,0.08989,0.29352,0.03596,0.01519,0.4
S5,Greedy,104,greedy,100.17,12.33,852866.0,0.0,272.0,1,0.41001,0.21629,0.00159,0.25219,0.32911,0.21887,0.2093,,,,,,,,0.43223,0.22753,0.00166,0.48828,0.20943,0.23558,0.22047,0.7
S5,Greedy,105,greedy,17.91,0.81,8089.0,0.0,170.0,1,0.11323,0.00453,1e-05,0.12027,0.24496,0.05612,0.03926,,,,,,,,0.11634,0.00453,1e-05,0.16016,0.17757,0.05542,0.04029,0.5
S5,Greedy,106,greedy,69.21,11.34,833540.0,0.0,614.0,1,0.31388,0.16169,0.00201,0.19,0.19395,0.16305,0.15919,0.35261,0.16169,0.00202,0.60655,0.1533,0.19656,0.17211,0.3547,0.16169,0.00202,0.81106,0.14747,0.20886,0.1728,1.4
S5,Greedy,107,greedy,15.48,1.62,21523.0,0.0,180.0,1,0.1072,0.03811,4e-05,0.07619,0.18268,0.05798,0.04845,,,,,,,,0.1072,0.03811,4e-05,0.09794,0.19391,0.05992,0.04845,0.4
S5,Greedy,108,greedy,16.38,1.08,134240.0,0.0,176.0,1,0.10909,0.026,0.0002,0.07504,0.19292,0.05555,0.0451,,,,,,,,0.11899,0.026,0.00021,0.10546,0.12077,0.05601,0.0484,0.4
S5,Greedy,109,greedy,57.06,1.71,1347285.0,0.0,182.0,1,0.30864,0.20169,0.00292,0.19603,0.20215,0.17438,0.17108,,,,,,,,0.3117,0.20169,0.00293,0.23049,0.18745,0.17644,0.17211,0.5
S5,Greedy,110,greedy,38.88,8.46,676100.0,0.0,-1,0,0.18552,0.08787,0.00103,0.12754,0.13304,0.09604,0.09147,0.21121,0.09263,0.00107,0.32611,0.24185,0.12309,0.10164,0.23574,0.14133,0.00159,0.52509,0.21713,0.15503,0.12622,2.0
