step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
100;100;Agent_1;stage controller selected stage 3 [GenAI] (deficit bucket: low) → ACCEPTED: G31: G31: IF fire threat level is VH AND suppression feasibility is VH AND asset exposure risk is M THEN suppression effort 1.0, water drafting 0.9, retardant drop 0.8 (adaptation-born: generative (claude), gates G1-G4);3;3;R7[0.02] R20[0.16] R26[0.09] G1[0.02] G2[0.16] G3[0.02];0.64;0.67;0.74;0.78;0.69;0.00;0.68;0.02;0.2711;0.2595;1
100;100;Agent_2;stage controller selected stage 3 [GenAI] (deficit bucket: low) → ACCEPTED: G31: G31: IF fire threat level is VH AND suppression feasibility is VH AND asset exposure risk is M THEN suppression effort 1.0, water drafting 0.9, retardant drop 0.8 (adaptation-born: generative (claude), gates G1-G4);3;3;R7[0.08] R11[0.23] R15[0.09] R20[0.10] R26[0.09] G1[0.03];0.39;0.56;0.51;0.64;0.64;0.30;0.62;0.02;0.2711;0.2595;1
100;100;Agent_3;stage controller selected stage 3 [GenAI] (deficit bucket: low) → ACCEPTED: G31: G31: IF fire threat level is VH AND suppression feasibility is VH AND asset exposure risk is M THEN suppression effort 1.0, water drafting 0.9, retardant drop 0.8 (adaptation-born: generative (claude), gates G1-G4);3;3;R7[0.04] R20[0.11] R26[0.09] G1[0.03] G2[0.11] G3[0.03];0.66;0.63;0.73;0.59;0.57;0.00;0.69;0.02;0.2711;0.2595;1
116;116;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.16] R26[0.09] G1[0.02] G2[0.16] G3[0.02];0.63;0.66;0.73;0.78;0.70;0.00;0.68;0.02;0.2726;0.2588;1
116;116;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.09] R20[0.10] R26[0.09] G1[0.03];0.38;0.56;0.51;0.64;0.64;0.30;0.61;0.02;0.2726;0.2588;1
116;116;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.10] R26[0.09] G1[0.03] G2[0.10] G3[0.03];0.65;0.63;0.73;0.58;0.57;0.00;0.69;0.02;0.2726;0.2588;1
117;117;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.15] R26[0.08] G1[0.01] G2[0.15] G3[0.01];0.62;0.66;0.73;0.77;0.70;0.00;0.67;0.02;0.2719;0.2597;1
117;117;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.08] R20[0.09] R26[0.08] G1[0.03];0.38;0.55;0.50;0.64;0.64;0.29;0.61;0.02;0.2719;0.2597;1
117;117;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.10] R26[0.08] G1[0.03] G2[0.10] G3[0.03];0.65;0.62;0.72;0.58;0.57;0.00;0.69;0.02;0.2719;0.2597;1
118;118;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.14] R26[0.08] G1[0.01] G2[0.14] G3[0.01];0.62;0.66;0.72;0.77;0.70;0.00;0.67;0.02;0.2725;0.2598;1
