scenario,arm,seed,source,package,gate,accepted,dJ
S5,F5EvAI,218,template,True,G2 package (name empty or taken),False,0.0
S5,F5EvAI,218,template,False,,True,-0.00012
S5,F5EvAI,218,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,218,template,True,G2 package (name empty or taken),False,0.0
S5,F5EvAI,218,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,219,template,False,,False,0.0
S1,F5EvAI,219,template,False,,False,0.0
S1,F5EvAI,219,template,True,,True,-0.00124
S2,F5EvAI,219,template,False,,False,0.0
S2,F5EvAI,219,template,False,,False,0.0
S2,F5EvAI,219,template,True,,True,-0.00067
S3,F5EvAI,219,template,False,,False,0.0
S3,F5EvAI,219,template,False,,True,-0.00346
S3,F5EvAI,219,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,219,template,False,,False,0.0
S4,F5EvAI,219,template,False,,True,-0.00706
S4,F5EvAI,219,template,False,,False,0.0
S5,F5EvAI,219,template,False,,False,0.0
S5,F5EvAI,219,template,False,,True,-0.00576
S5,F5EvAI,219,template,False,,False,0.0
S1,F5EvAI,220,template,False,,False,0.0
S1,F5EvAI,220,template,False,,False,0.0
S1,F5EvAI,220,template,True,,True,-0.00211
S2,F5EvAI,220,template,False,,False,0.0
S2,F5EvAI,220,template,False,,False,0.0
S2,F5EvAI,220,template,False,,True,-0.00064
S2,F5EvAI,220,template,False,,False,0.0
S3,F5EvAI,220,template,False,,False,0.0
S3,F5EvAI,220,template,False,,False,0.0
S3,F5EvAI,220,template,True,,True,-0.01484
S4,F5EvAI,220,template,False,,False,0.0
S4,F5EvAI,220,template,False,,True,-0.01814
S4,F5EvAI,220,template,True,,True,-0.01524
S4,F5EvAI,220,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,220,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,220,template,True,G2 package (name empty or taken),False,0.0
S5,F5EvAI,220,template,False,,False,0.0
S5,F5EvAI,220,template,False,,True,0.00024
S5,F5EvAI,220,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,221,template,False,,False,0.0
S1,F5EvAI,221,template,False,,True,-0.00718
S1,F5EvAI,221,template,False,,False,0.0
S2,F5EvAI,221,template,False,,False,0.0
S2,F5EvAI,221,template,False,,True,-0.11667
S2,F5EvAI,221,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,221,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,221,template,False,,False,0.0
S3,F5EvAI,221,template,False,,True,-0.00836
S4,F5EvAI,221,template,False,,False,0.0
S4,F5EvAI,221,template,False,,True,-0.00286
S4,F5EvAI,221,template,True,,True,-0.01326
S5,F5EvAI,221,template,False,,False,0.0
S5,F5EvAI,221,template,False,,True,-0.01765
S5,F5EvAI,221,template,True,,True,-0.01553
S1,F5EvAI,222,template,False,,False,0.0
S1,F5EvAI,222,template,False,,False,0.0
S1,F5EvAI,222,template,True,,True,-0.00072
