scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,rules_final,coverage,fs_frac,adapt_share,tried_1,tried_2,tried_3,acc_1,acc_2,acc_3,dj_1,dj_2,dj_3,genai_source,wall_s
S3,F5Ev,211,minimal,48.87,0.27,543017.0,0.0,134.0,1,0.27012,0.08958,0.00113,0.07123,0.21734,0.1231,0.12028,,,,,,,,0.27232,0.0999,0.00125,0.07293,0.18182,0.12483,0.12449,9,0.312,0.0,0.6501,2,4,0,2,4,0,-0.0292,-0.0774,0.0,,5.5
S3,F5,211,minimal,62.73,0.81,987816.0,0.0,-1,0,0.3133,0.16397,0.00246,0.08245,0.33701,0.16577,0.15991,0.31362,0.16397,0.00258,0.15533,0.46471,0.1777,0.16006,0.32449,0.16397,0.00294,0.2328,0.27321,0.17429,0.1638,5,0.0,0.52,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,18.6
S4,Test0,211,minimal,258.66,65.07,8552567.0,0.0,-1,0,0.44787,0.20046,0.01342,0.0,0.0,0.19463,0.22058,0.64384,0.7915,0.0706,0.0,0.0,0.44292,0.50198,0.66451,0.9736,0.16874,0.0,0.0,0.53143,0.60228,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.8
S3,F5EvAI,211,minimal,53.01,0.27,637707.0,1447.0,150.0,1,0.28557,0.10554,0.00201,0.08995,0.24807,0.13551,0.13104,,,,,,,,0.28873,0.10702,0.00274,0.09866,0.26565,0.13863,0.13283,10,0.077,0.019,0.6145,1,3,3,1,2,3,0.0077,-0.0332,-0.0044,template,6.9
S4,F5Ev,211,minimal,52.92,0.45,444710.0,0.0,112.0,1,,,,,,,,,,,,,,,0.28838,0.09106,0.00114,0.12779,0.22672,0.13279,0.12686,8,0.3,0.0,0.5912,2,3,0,2,3,0,-0.0099,-0.0618,0.0,,4.5
S4,F5EvAI,211,minimal,53.73,0.27,620170.0,218.0,124.0,1,0.2915,0.10999,0.00182,0.18237,0.25545,0.14438,0.13444,,,,,,,,0.2915,0.10999,0.00184,0.18513,0.28894,0.14651,0.13444,10,0.114,0.023,0.6479,1,2,3,1,2,3,-0.002,-0.0096,0.0012,template,6.1
S5,Test0,211,minimal,258.66,65.07,8552567.0,0.0,-1,0,0.44787,0.20046,0.01342,0.0,0.0,0.19463,0.22058,0.64384,0.7915,0.0706,0.0,0.0,0.44292,0.50198,0.66451,0.9736,0.16874,0.0,0.0,0.53143,0.60228,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.7
S4,F5,211,minimal,82.89,2.61,829319.0,0.0,-1,0,0.30307,0.13639,0.00201,0.13961,0.28268,0.15468,0.14716,0.31427,0.14588,0.003,0.38055,0.27733,0.17492,0.15438,0.38828,0.17762,0.00321,0.59403,0.3161,0.22092,0.1897,5,0.0,0.538,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,19.6
S5,F5Ev,211,minimal,63.27,0.81,717800.0,0.0,194.0,1,0.3226,0.14208,0.00162,0.15022,0.18369,0.15679,0.15543,,,,,,,,0.32637,0.15395,0.00168,0.17557,0.15804,0.16139,0.16066,8,0.324,0.0,0.6642,6,3,0,6,3,0,-0.0635,-0.0598,0.0,,8.2
S5,F5EvAI,211,minimal,57.78,0.27,638018.0,214.0,126.0,1,0.30674,0.12067,0.00168,0.13636,0.40996,0.15834,0.14303,,,,,,,,0.30674,0.12067,0.00173,0.1405,0.18915,0.14561,0.14304,8,0.205,0.0,0.5842,2,2,2,2,2,1,-0.0187,-0.0291,-0.0001,template,5.7
S5,F5,211,minimal,62.46,0.54,1040516.0,0.0,-1,0,0.31427,0.15389,0.00251,0.13202,0.38897,0.16908,0.15689,0.31846,0.16338,0.00357,0.27867,0.26942,0.17501,0.1618,0.32354,0.16338,0.00376,0.46201,0.40395,0.19526,0.16356,5,0.004,0.41,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,18.9
S1,Test0,212,minimal,285.39,134.01,4444444.0,0.0,-1,0,0.45337,0.0,0.0,0.0,0.0,0.13334,0.15112,0.65559,0.8388,0.07476,0.0,0.0,0.46151,0.52305,0.66667,1.0,0.21111,0.0,0.0,0.55229,0.62592,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.8
S1,F5,212,minimal,1.08,1.08,0.0,0.0,158.0,1,0.00689,0.0,0.0,0.01335,0.84759,0.05267,0.0023,,,,,,,,0.00751,0.0,0.0,0.01764,0.82932,0.05203,0.0025,5,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,4.3
S1,F5Ev,212,minimal,1.08,1.08,0.0,0.0,158.0,1,0.00689,0.0,0.0,0.0144,0.78714,0.04918,0.0023,,,,,,,,0.00751,0.0,0.0,0.01926,0.77025,0.04865,0.0025,7,0.25,0.0,0.3933,2,5,0,2,2,0,0.0687,0.0228,0.0,,6.7
S1,F5EvAI,212,minimal,1.08,1.08,0.0,0.0,158.0,1,0.00689,0.0,0.0,0.01389,0.79375,0.04953,0.0023,,,,,,,,0.00751,0.0,0.0,0.01844,0.77789,0.04905,0.0025,6,0.0,0.0,0.1756,0,4,3,0,1,0,0.0,0.0274,0.0,template,7.4
